product_name_cn,unit_cn,category_cn,carry_log_price,first_window_log_price,first_survey_log_price,second_survey_log_price,month_log_price,prior_month_log_price,survey_aligned_change_pct,second_window_missing
乙醇（95.0%）,吨,三、化工产品,8.58307456052975,8.585954035987026,8.584514298258387,,8.584514298258387,8.59988825825814,-1.525638398419118,1
农药（草甘膦，95%原药）,吨,八、农业生产资料,10.153413239183829,10.145452858090925,10.149433048637377,,10.149433048637377,10.164889352798827,-1.5337468533273322,1
冰醋酸（99.5%及以上）,吨,三、化工产品,8.056363353971486,8.170836261787645,8.113599807879567,,8.113599807879567,8.002941153804265,11.70135537470919,1
复合肥（硫酸钾复合肥，氮磷钾含量45%）,吨,八、农业生产资料,8.194395036941843,8.1940635452261,8.194229291083971,,8.194229291083971,8.198060321777326,-0.38237016575095767,1
多晶硅（致密料）,千克,六、非金属矿物制品,3.7013019741124933,3.711130063048756,3.7062160185806245,,3.7062160185806245,3.508349682985658,21.879947282712568,1
大豆（黄豆）,吨,七、农产品（主要用于加工）,8.440765607966252,8.456784796221141,8.448775202093696,,8.448775202093696,8.414979543144117,3.437322022103558,1
天然橡胶（标准胶SCRWF）,吨,九、林产品,9.784878550863711,9.825526011066415,9.805202280965062,,9.805202280965062,9.736735407733743,7.086515006128395,1
小麦（国标三等）,吨,七、农产品（主要用于加工）,7.781263762960851,7.781472483297231,7.781368123129041,,7.781368123129041,7.781897354811171,-0.05290916637457189,1
尿素（中小颗粒）,吨,八、农业生产资料,7.464739034729211,7.479807696164023,7.472273365446617,,7.472273365446617,7.475585400667532,-0.3306556482522667,1
山西优混（5500大卡）,吨,五、煤炭,6.768608147571979,6.852559643514187,6.810583895543083,,6.810583895543083,6.7420013233982194,7.098905516340281,1
无烟煤（洗中块）,吨,五、煤炭,7.297835985046554,7.3890696993737395,7.343452842210146,,7.343452842210146,7.197507974170052,15.713239131558904,1
无缝钢管（219*6，20#）,吨,一、黑色金属,8.29702022354686,8.300752128161701,8.298886175854282,,8.298886175854282,8.299516326848597,-0.06299524908750444,1
普通中板（20mm，Q235）,吨,一、黑色金属,8.168174577126424,8.178835177834811,8.173504877480617,,8.173504877480617,8.153887507423853,1.9811055118040093,1
普通硅酸盐水泥（P.O 42.5散装）,吨,六、非金属矿物制品,5.516247350809359,5.524257005164247,5.520252177986803,,5.520252177986803,5.512810842056717,0.7469091473693192,1
柴油（0#国VI）,吨,四、石油天然气,9.027438646917162,9.072376312440662,9.049907479678911,,9.049907479678911,8.981976078990876,7.029188467350197,1
